"protein_name","CellType","enriched"
"cxcl8","Inflammatory_Macrophage","Immune-enriched"
"cxcl6","Cholangiocytes","Cholangiocyte-enriched"
"cxcl1","Cholangiocytes","Cholangiocyte-enriched"
"pf4","Periportal_LSECs","EC-enriched"
"ppbp","Periportal_LSECs","EC-enriched"
"cxcl5","Cholangiocytes","Cholangiocyte-enriched"
"cxcl3","Inflammatory_Macrophage","Immune-enriched"
"ereg","Inflammatory_Macrophage","Immune-enriched"
"areg","NK-like_Cells","Immune-enriched"
"btc","Periportal_LSECs","EC-enriched"
"uso1","Hepatocyte_4","Hepatocyte-enriched"
"naaa","Non-inflammatory_Macrophage","Immune-enriched"
"cxcl9","Non-inflammatory_Macrophage","Immune-enriched"
"cxcl10","Non-inflammatory_Macrophage","Immune-enriched"
"cxcl11","Hepatocyte_3","Hepatocyte-enriched"
"scarb2","Non-inflammatory_Macrophage","Immune-enriched"
"cxcl13","Hepatocyte_5","Hepatocyte-enriched"
