"protein_name","CellType","enriched"
"myh7b","NK-like_Cells","Immune-enriched"
"edem2","Plasma_Cells","Immune-enriched"
"procr","Portal_endothelial_Cells","EC-enriched"
"sla2","NK-like_Cells","Immune-enriched"
"src","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vstm2l","Cholangiocytes","Cholangiocyte-enriched"
"tgm2","Portal_endothelial_Cells","EC-enriched"
"lbp","Hepatocyte_3","Hepatocyte-enriched"
"top1","Erythroid_Cells","Immune-enriched"
"ada","gamma-delta_T_Cells_1","Immune-enriched"
"stk4","gamma-delta_T_Cells_1","Immune-enriched"
"pi3","Cholangiocytes","Cholangiocyte-enriched"
"sdc4","Hepatocyte_4","Hepatocyte-enriched"
"wfdc2","Cholangiocytes","Cholangiocyte-enriched"
"pltp","Non-inflammatory_Macrophage","Immune-enriched"
"mmp9","NK-like_Cells","Immune-enriched"
"cd40","Mature_B_Cells","Immune-enriched"
"stau1","Hepatocyte_6","Hepatocyte-enriched"
"cebpb","Non-inflammatory_Macrophage","Immune-enriched"
"ptpn1","Plasma_Cells","Immune-enriched"
"pfdn4","Erythroid_Cells","Immune-enriched"
"cbln4","Hepatocyte_5","Hepatocyte-enriched"
"zbp1","Plasma_Cells","Immune-enriched"
"stx16","Hepatic_Stellate_Cells","Stellate cells-enriched"
"gnas","Non-inflammatory_Macrophage","Immune-enriched"
"ctsz","Hepatocyte_4","Hepatocyte-enriched"
"osbpl2","Erythroid_Cells","Immune-enriched"
"ogfr","Hepatocyte_4","Hepatocyte-enriched"
"gid8","Erythroid_Cells","Immune-enriched"
"tpd52l2","Inflammatory_Macrophage","Immune-enriched"
"bsg","Erythroid_Cells","Immune-enriched"
"fstl3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"palm","Periportal_LSECs","EC-enriched"
"azu1","Inflammatory_Macrophage","Immune-enriched"
"prtn3","Portal_endothelial_Cells","EC-enriched"
"cfd","Inflammatory_Macrophage","Immune-enriched"
"arid3a","Plasma_Cells","Immune-enriched"
"stk11","Erythroid_Cells","Immune-enriched"
"cirbp","NK-like_Cells","Immune-enriched"
"gamt","Hepatocyte_6","Hepatocyte-enriched"
"adamtsl5","Hepatocyte_3","Hepatocyte-enriched"
"lmnb2","gamma-delta_T_Cells_2","Immune-enriched"
"gadd45b","Hepatic_Stellate_Cells","Stellate cells-enriched"
"thop1","Hepatocyte_6","Hepatocyte-enriched"
"ncln","Hepatocyte_4","Hepatocyte-enriched"
"nfic","Hepatocyte_3","Hepatocyte-enriched"
"gipc3","Central_venous_LSECs","EC-enriched"
"tjp3","Cholangiocytes","Cholangiocyte-enriched"
"shd","Hepatocyte_2","Hepatocyte-enriched"
"lrg1","Hepatocyte_3","Hepatocyte-enriched"
"mydgf","Plasma_Cells","Immune-enriched"
"plin3","Inflammatory_Macrophage","Immune-enriched"
"ptprs","Hepatic_Stellate_Cells","Stellate cells-enriched"
"safb2","alpha-beta_T_Cells","Immune-enriched"
"lonp1","Hepatocyte_4","Hepatocyte-enriched"
"nrtn","Hepatocyte_2","Hepatocyte-enriched"
"mllt1","Portal_endothelial_Cells","EC-enriched"
"clpp","Hepatocyte_6","Hepatocyte-enriched"
"pspn","Portal_endothelial_Cells","EC-enriched"
"cd70","Mature_B_Cells","Immune-enriched"
"tnfsf14","NK-like_Cells","Immune-enriched"
"c3","Hepatocyte_3","Hepatocyte-enriched"
"adgre1","Non-inflammatory_Macrophage","Immune-enriched"
"insr","Hepatocyte_4","Hepatocyte-enriched"
"retn","Inflammatory_Macrophage","Immune-enriched"
"mcemp1","Inflammatory_Macrophage","Immune-enriched"
"fcer2","Mature_B_Cells","Immune-enriched"
"clec4g","Central_venous_LSECs","EC-enriched"
"cd209","Non-inflammatory_Macrophage","Immune-enriched"
"clec4m","Central_venous_LSECs","EC-enriched"
"ccl25","NK-like_Cells","Immune-enriched"
"angptl4","Hepatocyte_4","Hepatocyte-enriched"
"muc16","Hepatocyte_2","Hepatocyte-enriched"
"icam1","Portal_endothelial_Cells","EC-enriched"
"icam4","Erythroid_Cells","Immune-enriched"
"icam5","Erythroid_Cells","Immune-enriched"
"icam3","NK-like_Cells","Immune-enriched"
"cdc37","Portal_endothelial_Cells","EC-enriched"
"cdkn2d","Erythroid_Cells","Immune-enriched"
"tmed1","Hepatocyte_6","Hepatocyte-enriched"
"ldlr","Hepatocyte_4","Hepatocyte-enriched"
"acp5","Central_venous_LSECs","EC-enriched"
"dhps","Hepatocyte_6","Hepatocyte-enriched"
"prdx2","Erythroid_Cells","Immune-enriched"
"rnaseh2a","Plasma_Cells","Immune-enriched"
"farsa","Erythroid_Cells","Immune-enriched"
"gadd45gip1","Hepatocyte_6","Hepatocyte-enriched"
"nacc1","gamma-delta_T_Cells_2","Immune-enriched"
"mri1","Hepatocyte_5","Hepatocyte-enriched"
"cc2d1a","Mature_B_Cells","Immune-enriched"
"palm3","Hepatocyte_4","Hepatocyte-enriched"
"adgre5","NK-like_Cells","Immune-enriched"
"ddx39a","gamma-delta_T_Cells_2","Immune-enriched"
"dnajb1","alpha-beta_T_Cells","Immune-enriched"
"ndufb7","Hepatocyte_6","Hepatocyte-enriched"
"adgre2","Inflammatory_Macrophage","Immune-enriched"
"notch3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pglyrp2","Hepatocyte_4","Hepatocyte-enriched"
"myo9b","Inflammatory_Macrophage","Immune-enriched"
"babam1","Erythroid_Cells","Immune-enriched"
"dda1","Hepatocyte_6","Hepatocyte-enriched"
"bst2","Portal_endothelial_Cells","EC-enriched"
"insl3","alpha-beta_T_Cells","Immune-enriched"
"il12rb1","gamma-delta_T_Cells_1","Immune-enriched"
"ifi30","Inflammatory_Macrophage","Immune-enriched"
"gdf15","Cholangiocytes","Cholangiocyte-enriched"
"lrrc25","Non-inflammatory_Macrophage","Immune-enriched"
"crlf1","alpha-beta_T_Cells","Immune-enriched"
"comp","Periportal_LSECs","EC-enriched"
"cope","Plasma_Cells","Immune-enriched"
"ncan","Hepatocyte_4","Hepatocyte-enriched"
"sugp1","Erythroid_Cells","Immune-enriched"
"ccne1","Erythroid_Cells","Immune-enriched"
"pdcd5","Hepatocyte_6","Hepatocyte-enriched"
"cebpa","Hepatocyte_3","Hepatocyte-enriched"
"pepd","Hepatocyte_6","Hepatocyte-enriched"
"gpi","Hepatocyte_3","Hepatocyte-enriched"
"fxyd5","Inflammatory_Macrophage","Immune-enriched"
"mag","Portal_endothelial_Cells","EC-enriched"
"cd22","Mature_B_Cells","Immune-enriched"
"cox6b1","Hepatocyte_6","Hepatocyte-enriched"
"hspb6","Hepatic_Stellate_Cells","Stellate cells-enriched"
"aplp1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"tbcb","gamma-delta_T_Cells_1","Immune-enriched"
"spint2","Cholangiocytes","Cholangiocyte-enriched"
"ppp1r14a","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ryr1","alpha-beta_T_Cells","Immune-enriched"
"actn4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lgals4","Cholangiocytes","Cholangiocyte-enriched"
"sirt2","gamma-delta_T_Cells_1","Immune-enriched"
"ccer2","Hepatocyte_4","Hepatocyte-enriched"
"pak4","Cholangiocytes","Cholangiocyte-enriched"
"ifnl1","NK-like_Cells","Immune-enriched"
"gmfg","gamma-delta_T_Cells_2","Immune-enriched"
"akt2","Hepatocyte_4","Hepatocyte-enriched"
"blvrb","Erythroid_Cells","Immune-enriched"
"mia","Hepatic_Stellate_Cells","Stellate cells-enriched"
"axl","Non-inflammatory_Macrophage","Immune-enriched"
"hnrnpul1","gamma-delta_T_Cells_2","Immune-enriched"
"tgfb1","gamma-delta_T_Cells_1","Immune-enriched"
"ceacam21","Non-inflammatory_Macrophage","Immune-enriched"
"ceacam6","Cholangiocytes","Cholangiocyte-enriched"
"ceacam3","Non-inflammatory_Macrophage","Immune-enriched"
"arhgef1","NK-like_Cells","Immune-enriched"
"pafah1b3","Plasma_Cells","Immune-enriched"
"cxcl17","Cholangiocytes","Cholangiocyte-enriched"
"ceacam1","Central_venous_LSECs","EC-enriched"
"cd177","Erythroid_Cells","Immune-enriched"
"lypd3","Mature_B_Cells","Immune-enriched"
"pinlyp","Hepatic_Stellate_Cells","Stellate cells-enriched"
"plaur","Inflammatory_Macrophage","Immune-enriched"
"pvr","Hepatocyte_4","Hepatocyte-enriched"
"ceacam19","Portal_endothelial_Cells","EC-enriched"
"bcam","Hepatocyte_5","Hepatocyte-enriched"
"apoe","Hepatocyte_6","Hepatocyte-enriched"
"apoc1","Hepatocyte_6","Hepatocyte-enriched"
"relb","Erythroid_Cells","Immune-enriched"
"bloc1s3","gamma-delta_T_Cells_1","Immune-enriched"
"ercc1","Hepatocyte_6","Hepatocyte-enriched"
"fosb","alpha-beta_T_Cells","Immune-enriched"
"vasp","gamma-delta_T_Cells_1","Immune-enriched"
"gipr","Plasma_Cells","Immune-enriched"
"pglyrp1","Erythroid_Cells","Immune-enriched"
"prkd2","Plasma_Cells","Immune-enriched"
"crx","Hepatic_Stellate_Cells","Stellate cells-enriched"
"sult2a1","Hepatocyte_6","Hepatocyte-enriched"
"ca11","Hepatocyte_6","Hepatocyte-enriched"
"izumo1","Central_venous_LSECs","EC-enriched"
"fut1","Portal_endothelial_Cells","EC-enriched"
"fgf21","Hepatocyte_6","Hepatocyte-enriched"
"bcat2","Cholangiocytes","Cholangiocyte-enriched"
"hsd17b14","Hepatocyte_6","Hepatocyte-enriched"
"bax","gamma-delta_T_Cells_2","Immune-enriched"
"gys1","Plasma_Cells","Immune-enriched"
"hrc","Hepatic_Stellate_Cells","Stellate cells-enriched"
"flt3lg","alpha-beta_T_Cells","Immune-enriched"
"rras","Portal_endothelial_Cells","EC-enriched"
"akt1s1","Erythroid_Cells","Immune-enriched"
"tbc1d17","Hepatocyte_3","Hepatocyte-enriched"
"clec11a","Hepatic_Stellate_Cells","Stellate cells-enriched"
"klk1","Mature_B_Cells","Immune-enriched"
"klk10","Portal_endothelial_Cells","EC-enriched"
"klk11","Cholangiocytes","Cholangiocyte-enriched"
"siglec9","Inflammatory_Macrophage","Immune-enriched"
"siglec7","Non-inflammatory_Macrophage","Immune-enriched"
"cd33","Non-inflammatory_Macrophage","Immune-enriched"
"iglon5","Periportal_LSECs","EC-enriched"
"vsig10l","Inflammatory_Macrophage","Immune-enriched"
"siglec10","Non-inflammatory_Macrophage","Immune-enriched"
"siglec8","Non-inflammatory_Macrophage","Immune-enriched"
"siglec5","Inflammatory_Macrophage","Immune-enriched"
"vstm1","Non-inflammatory_Macrophage","Immune-enriched"
"oscar","Inflammatory_Macrophage","Immune-enriched"
"lilra6","Inflammatory_Macrophage","Immune-enriched"
"lilrb2","Inflammatory_Macrophage","Immune-enriched"
"lilrb5","Non-inflammatory_Macrophage","Immune-enriched"
"lilra5","Inflammatory_Macrophage","Immune-enriched"
"lilra4","Non-inflammatory_Macrophage","Immune-enriched"
"lair1","Inflammatory_Macrophage","Immune-enriched"
"lair2","gamma-delta_T_Cells_1","Immune-enriched"
"lilra2","Non-inflammatory_Macrophage","Immune-enriched"
"lilrb1","Non-inflammatory_Macrophage","Immune-enriched"
"lilrb4","Non-inflammatory_Macrophage","Immune-enriched"
"kir2dl3","gamma-delta_T_Cells_1","Immune-enriched"
"kir3dl1","gamma-delta_T_Cells_1","Immune-enriched"
"kir3dl2","gamma-delta_T_Cells_1","Immune-enriched"
"fcar","Inflammatory_Macrophage","Immune-enriched"
"ncr1","NK-like_Cells","Immune-enriched"
"gp6","Central_venous_LSECs","EC-enriched"
"tnni3","Cholangiocytes","Cholangiocyte-enriched"
"ptprh","Cholangiocytes","Cholangiocyte-enriched"
"ssc5d","Hepatic_Stellate_Cells","Stellate cells-enriched"
"epn1","Non-inflammatory_Macrophage","Immune-enriched"
"a1bg","Hepatocyte_4","Hepatocyte-enriched"
"il17ra","Inflammatory_Macrophage","Immune-enriched"
"bid","Hepatocyte_6","Hepatocyte-enriched"
"dgcr6","Hepatocyte_3","Hepatocyte-enriched"
"comt","Hepatocyte_6","Hepatocyte-enriched"
"ranbp1","Hepatocyte_6","Hepatocyte-enriched"
"rtn4r","Hepatocyte_3","Hepatocyte-enriched"
"scarf2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"serpind1","Hepatocyte_4","Hepatocyte-enriched"
"snap29","Hepatocyte_6","Hepatocyte-enriched"
"crkl","Hepatocyte_2","Hepatocyte-enriched"
"ppm1f","Central_venous_LSECs","EC-enriched"
"iglc2","Plasma_Cells","Immune-enriched"
"bcr","Periportal_LSECs","EC-enriched"
"chchd10","Hepatocyte_6","Hepatocyte-enriched"
"mif","Hepatocyte_6","Hepatocyte-enriched"
"gstt2b","Hepatocyte_6","Hepatocyte-enriched"
"ddt","Hepatocyte_6","Hepatocyte-enriched"
"susd2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ggt5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"upb1","Hepatocyte_4","Hepatocyte-enriched"
"ggt1","Hepatocyte_5","Hepatocyte-enriched"
"crybb2","Erythroid_Cells","Immune-enriched"
"crybb1","Plasma_Cells","Immune-enriched"
"mn1","Portal_endothelial_Cells","EC-enriched"
"chek2","gamma-delta_T_Cells_2","Immune-enriched"
"lif","Cholangiocytes","Cholangiocyte-enriched"
"osm","alpha-beta_T_Cells","Immune-enriched"
"tcn2","Portal_endothelial_Cells","EC-enriched"
"smtn","Central_venous_LSECs","EC-enriched"
"pik3ip1","NK-like_Cells","Immune-enriched"
"timp3","Portal_endothelial_Cells","EC-enriched"
"hmox1","Non-inflammatory_Macrophage","Immune-enriched"
"mb","Hepatocyte_2","Hepatocyte-enriched"
"apol1","Hepatocyte_4","Hepatocyte-enriched"
"myh9","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pvalb","Central_venous_LSECs","EC-enriched"
"csf2rb","Inflammatory_Macrophage","Immune-enriched"
"tst","Hepatocyte_6","Hepatocyte-enriched"
"il2rb","NK-like_Cells","Immune-enriched"
"c1qtnf6","Central_venous_LSECs","EC-enriched"
"gga1","NK-like_Cells","Immune-enriched"
"sh3bp1","NK-like_Cells","Immune-enriched"
"lgals1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ankrd54","NK-like_Cells","Immune-enriched"
"polr2f","Hepatocyte_6","Hepatocyte-enriched"
"nptxr","Periportal_LSECs","EC-enriched"
"pdgfb","Central_venous_LSECs","EC-enriched"
"atf4","Plasma_Cells","Immune-enriched"
"grap2","alpha-beta_T_Cells","Immune-enriched"
"st13","Hepatocyte_6","Hepatocyte-enriched"
"ep300","Erythroid_Cells","Immune-enriched"
"rangap1","gamma-delta_T_Cells_2","Immune-enriched"
"tef","Hepatocyte_4","Hepatocyte-enriched"
"snu13","Plasma_Cells","Immune-enriched"
"ccdc134","Plasma_Cells","Immune-enriched"
"tnfrsf13c","Mature_B_Cells","Immune-enriched"
"naga","Hepatic_Stellate_Cells","Stellate cells-enriched"
"prr5","Erythroid_Cells","Immune-enriched"
"nup50","Erythroid_Cells","Immune-enriched"
"upk3a","Inflammatory_Macrophage","Immune-enriched"
"atxn10","Hepatocyte_6","Hepatocyte-enriched"
"brd1","Hepatocyte_5","Hepatocyte-enriched"
"creld2","Plasma_Cells","Immune-enriched"
"plxnb2","Hepatocyte_4","Hepatocyte-enriched"
"tymp","Inflammatory_Macrophage","Immune-enriched"
"arsa","Hepatocyte_4","Hepatocyte-enriched"
"usp25","Inflammatory_Macrophage","Immune-enriched"
"cxadr","Hepatocyte_4","Hepatocyte-enriched"
"ncam2","Central_venous_LSECs","EC-enriched"
"jam2","Portal_endothelial_Cells","EC-enriched"
"app","Central_venous_LSECs","EC-enriched"
"adamts1","Periportal_LSECs","EC-enriched"
"bach1","Erythroid_Cells","Immune-enriched"
"sod1","Hepatocyte_6","Hepatocyte-enriched"
"il10rb","Non-inflammatory_Macrophage","Immune-enriched"
"ifnar1","Non-inflammatory_Macrophage","Immune-enriched"
"ifngr2","Inflammatory_Macrophage","Immune-enriched"
"gart","Plasma_Cells","Immune-enriched"
"cryzl1","gamma-delta_T_Cells_1","Immune-enriched"
"morc3","Erythroid_Cells","Immune-enriched"
"dscam","Non-inflammatory_Macrophage","Immune-enriched"
"fam3b","Cholangiocytes","Cholangiocyte-enriched"
"ripk4","Hepatocyte_2","Hepatocyte-enriched"
"tff3","Cholangiocytes","Cholangiocyte-enriched"
"tff2","Cholangiocytes","Cholangiocyte-enriched"
"tff1","Cholangiocytes","Cholangiocyte-enriched"
"cbs","Hepatocyte_3","Hepatocyte-enriched"
"cstb","Hepatocyte_3","Hepatocyte-enriched"
"icoslg","Mature_B_Cells","Immune-enriched"
"itgb2","gamma-delta_T_Cells_1","Immune-enriched"
"col18a1","Hepatocyte_4","Hepatocyte-enriched"
"ftcd","Hepatocyte_4","Hepatocyte-enriched"
